"filename", "language", "JavaScript", "XML", "HTML", "JSON", "JavaScript JSX", "Markdown", "PostCSS", "comment", "blank", "total"
"f:\urbanReality\urban-reality-os\backend\config\db.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\urbanReality\urban-reality-os\backend\middleware\authMiddleware.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"f:\urbanReality\urban-reality-os\backend\models\User.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"f:\urbanReality\urban-reality-os\backend\package-lock.json", "JSON", 0, 0, 0, 2642, 0, 0, 0, 0, 1, 2643
"f:\urbanReality\urban-reality-os\backend\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"f:\urbanReality\urban-reality-os\backend\reset-password.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"f:\urbanReality\urban-reality-os\backend\routes\authRoutes.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 13, 36, 179
"f:\urbanReality\urban-reality-os\backend\routes\userRoutes.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 4, 11, 98
"f:\urbanReality\urban-reality-os\backend\server.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 2, 15, 85
"f:\urbanReality\urban-reality-os\backend\utils\email.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"f:\urbanReality\urban-reality-os\backend\utils\otp.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"f:\urbanReality\urban-reality-os\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\urbanReality\urban-reality-os\index.html", "HTML", 0, 0, 21, 0, 0, 0, 0, 2, 4, 27
"f:\urbanReality\urban-reality-os\integrationTest.js", "JavaScript", 187, 0, 0, 0, 0, 0, 0, 38, 30, 255
"f:\urbanReality\urban-reality-os\package-lock.json", "JSON", 0, 0, 0, 4446, 0, 0, 0, 0, 1, 4447
"f:\urbanReality\urban-reality-os\package.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"f:\urbanReality\urban-reality-os\public\data\aqi.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"f:\urbanReality\urban-reality-os\public\data\demographics.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"f:\urbanReality\urban-reality-os\public\data\facilities.json", "JSON", 0, 0, 0, 179, 0, 0, 0, 0, 0, 179
"f:\urbanReality\urban-reality-os\public\data\flood.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"f:\urbanReality\urban-reality-os\public\data\traffic.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"f:\urbanReality\urban-reality-os\public\test-login.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 0, 6, 67
"f:\urbanReality\urban-reality-os\public\vite.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"f:\urbanReality\urban-reality-os\server\config\passport.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"f:\urbanReality\urban-reality-os\server\controllers\authController.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 0, 37, 207
"f:\urbanReality\urban-reality-os\server\index.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 5, 13, 70
"f:\urbanReality\urban-reality-os\server\middleware\auth.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"f:\urbanReality\urban-reality-os\server\middleware\authorize.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"f:\urbanReality\urban-reality-os\server\models\AuditLog.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"f:\urbanReality\urban-reality-os\server\models\User.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"f:\urbanReality\urban-reality-os\server\package-lock.json", "JSON", 0, 0, 0, 1163, 0, 0, 0, 0, 1, 1164
"f:\urbanReality\urban-reality-os\server\package.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"f:\urbanReality\urban-reality-os\server\routes\auth.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 3, 18, 100
"f:\urbanReality\urban-reality-os\server\routes\authRoutes.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 3, 9, 74
"f:\urbanReality\urban-reality-os\server\routes\gemini.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 12, 67
"f:\urbanReality\urban-reality-os\server\utils\audit.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"f:\urbanReality\urban-reality-os\server\utils\email.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"f:\urbanReality\urban-reality-os\server\utils\hash.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"f:\urbanReality\urban-reality-os\server\utils\otp.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"f:\urbanReality\urban-reality-os\server\utils\tokens.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"f:\urbanReality\urban-reality-os\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"f:\urbanReality\urban-reality-os\src\animations\motion.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\urbanReality\urban-reality-os\src\components\AuthModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 447, 0, 0, 2, 32, 481
"f:\urbanReality\urban-reality-os\src\components\BottomLayers.jsx", "JavaScript JSX", 0, 0, 0, 0, 120, 0, 0, 4, 8, 132
"f:\urbanReality\urban-reality-os\src\components\BuilderUI.jsx", "JavaScript JSX", 0, 0, 0, 0, 191, 0, 0, 12, 26, 229
"f:\urbanReality\urban-reality-os\src\components\BuilderUI.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 306, 1, 55, 362
"f:\urbanReality\urban-reality-os\src\components\CitySuggestions.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 11, 12, 141
"f:\urbanReality\urban-reality-os\src\components\CommandBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 1, 12, 127
"f:\urbanReality\urban-reality-os\src\components\ContextEngine.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 1, 5, 64
"f:\urbanReality\urban-reality-os\src\components\ControlDock.jsx", "JavaScript JSX", 0, 0, 0, 0, 148, 0, 0, 4, 10, 162
"f:\urbanReality\urban-reality-os\src\components\CoordinateDisplay.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 2, 10, 73
"f:\urbanReality\urban-reality-os\src\components\DebugPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 150, 0, 0, 20, 20, 190
"f:\urbanReality\urban-reality-os\src\components\Drawer.jsx", "JavaScript JSX", 0, 0, 0, 0, 218, 0, 0, 2, 17, 237
"f:\urbanReality\urban-reality-os\src\components\EconomicImpact.jsx", "JavaScript JSX", 0, 0, 0, 0, 56, 0, 0, 4, 9, 69
"f:\urbanReality\urban-reality-os\src\components\EconomicPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 3, 7, 94
"f:\urbanReality\urban-reality-os\src\components\FacilityListPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 212, 0, 0, 2, 18, 232
